time,t12_nu0M1,t12_nu0M2,t12_nu0,t12_RH_e,t12_RH_L
0.0,0.0,0.0,0.0,0.0,0.0
0.050505050505050504,9.265128042335057e21,3.087179325540349e21,9.39613378420545e22,8.34376680037444e22,4.594709420476465e22
0.10101010101010101,1.6267993038445303e22,4.365930871656987e21,1.8587964486322153e23,1.650611246385407e23,9.089514633811533e22
0.15151515151515152,2.2072145539728985e22,5.347151443912105e21,2.7585365567070287e23,2.4495804623558412e23,1.348924376229737e23
0.20202020202020202,2.715937844171568e22,6.174358651080698e21,3.6397797933976566e23,3.2321244565371194e23,1.7798523189714543e23
0.25252525252525254,3.17850231310339e22,6.903142830640176e21,4.5033810413113455e23,3.999002364684475e23,2.202153329201248e23
0.30303030303030304,3.6289546769125094e22,7.562014092043376e21,5.3501630000692055e23,4.7509447440614544e23,2.6162297070338414e23
0.35353535353535354,4.043944347181833e22,8.167908748039878e21,6.180857463209781e23,5.488601427330287e23,3.0224392995095836e23
0.40404040404040403,4.44089540209828e22,8.731861743313974e21,6.996238151237015e23,6.21265947829847e23,3.421160455954901e23
0.45454545454545453,4.804206558374882e22,9.261537976621047e21,7.79694739498982e23,6.92368928675096e23,3.812707276150022e23
0.5050505050505051,5.162877008223788e22,9.762518214089934e21,8.609900750345333e23,7.645591866306656e23,4.2102414669188676e23
0.5555555555555556,5.509847782709051e22,1.0239015483359787e22,9.384944535239265e23,8.333830747292467e23,4.589237877732001e23
0.6060606060606061,5.8163777892351205e22,1.069430288782421e22,1.0146899215274312e24,9.01044650316359e23,4.9618337162691386e23
0.6565656565656566,6.1212384913010295e22,1.1130983354788066e22,1.0896498643474282e24,9.676090795405163e23,5.3283878366589245e23
0.7070707070707071,6.3802674560541445e22,1.1551167327703843e22,1.1634080863358036e24,1.0331063806661937e24,5.6890655421820795e23
0.7575757575757576,6.652197186643399e22,1.195659411457362e22,1.2360265041957165e24,1.0975915357257964e24,6.044169605517054e23
0.8080808080808081,6.934474724914511e22,1.2348717302161397e22,1.3075397743116813e24,1.1610953195887731e24,6.393869496384121e23
0.8585858585858586,7.2127815008377006e22,1.2728766444425949e22,1.3779971255733801e24,1.2236614475091618e24,6.73840594405383e23
0.9090909090909091,7.459690394784243e22,1.309779261497096e22,1.4474366119153916e24,1.2853237113808678e24,7.077965032266266e23
0.9595959595959596,7.695958244554458e22,1.3456702700618437e22,1.5158988487021118e24,1.3461181776474755e24,7.412745370153327e23
1.0101010101010102,7.954932771456189e22,1.380628566128035e22,1.5834010950919022e24,1.4060601724416093e24,7.742831354999402e23
1.0606060606060606,8.192261600455622e22,1.414723294319137e22,1.6470089754558294e24,1.4625439702047766e24,8.053873889979007e23
1.1111111111111112,8.409996470151055e22,1.4480154561915522e22,1.7082462936148758e24,1.5169227087300097e24,8.353324375776743e23
1.1616161616161615,8.647916760074616e22,1.4805591927545708e22,1.7686683137701287e24,1.5705774626278747e24,8.64878805433593e23
1.2121212121212122,8.859611050831505e22,1.5124028184086752e22,1.828620717506819e24,1.6238151971460553e24,8.941955308608344e23
1.2626262626262625,9.076981619883317e22,1.5435896627701748e22,1.8884415039911943e24,1.6769360555441807e24,9.234478954516941e23
1.3131313131313131,9.301019778142244e22,1.5741587622890459e22,1.9475635999799595e24,1.7294364767822043e24,9.523586003902003e23
1.3636363636363635,9.508913384449203e22,1.6041454331736313e22,2.0060333708323627e24,1.7813576332991384e24,9.809503183370254e23
1.4141414141414141,9.721033279737955e22,1.6335817496079756e22,2.0638819134468245e24,1.8327271391407805e24,1.0092382556754973e24
1.4646464646464648,9.911635675683397e22,1.6624969457213125e22,2.121103836174197e24,1.883540206522687e24,1.0372197758891823e24
1.5151515151515151,1.0118040525532061e23,1.690917755662034e22,2.183211513315243e24,1.938691823823936e24,1.067590430011154e24
1.5656565656565657,1.0303593926973225e23,1.7188687030409184e22,2.2393543087338035e24,1.9885466261556176e24,1.09504425697083e24
1.6161616161616161,1.0491494341229157e23,1.7463723486627949e22,2.294973530104669e24,2.0379364947329462e24,1.1222420562211831e24
1.6666666666666667,1.0696846039875659e23,1.7734495036663558e22,2.350101916635939e24,2.086890501972714e24,1.1491998372349743e24
1.7171717171717171,1.0887590038887494e23,1.8001194137986737e22,2.4047635739196642e24,2.135430053640662e24,1.1759293876467159e24
1.7676767676767677,1.1044246884982739e23,1.8263999194632372e22,2.4581689827706225e24,2.182854056700313e24,1.2020446325748346e24
1.8181818181818181,1.1209425585372945e23,1.8523075953242094e22,2.511164537224957e24,2.2299141090557618e24,1.227959458703004e24
1.8686868686868687,1.1388439568581366e23,1.877857872570817e22,2.563764146943308e24,2.2766225624856573e24,1.2536806678552776e24
1.9191919191919191,1.157896093306828e23,1.903065146403725e22,2.615933195038365e24,2.3229486771940688e24,1.2791913323737608e24
1.9696969696969697,1.1766763627878467e23,1.92794287086964e22,2.667672115262391e24,2.3688928383530032e24,1.3044916643633092e24
2.0202020202020203,1.1945951116934739e23,1.9525036428179867e22,2.718987239660589e24,2.4144606688186032e24,1.3295847601940283e24
2.0707070707070705,1.20999294629233e23,1.9767592764669006e22,2.7697299797331426e24,2.459520222003031e24,1.3543979600895067e24
2.121212121212121,1.2250745597887242e23,2.0007208698312676e22,2.819644951451153e24,2.5038447168886243e24,1.378806381259614e24
2.1717171717171717,1.2426882790448033e23,2.024398864072696e22,2.8692403679724375e24,2.547885446759525e24,1.403058539938522e24
2.2222222222222223,1.2603939756224607e23,2.0478030966719573e22,2.918537343562324e24,2.5916611610833436e24,1.4271647610019764e24
2.272727272727273,1.2746446295638398e23,2.070942849192052e22,2.9673199794721644e24,2.6349801417712826e24,1.4510194699618885e24
2.323232323232323,1.2901752419240441e23,2.093826890289676e22,3.0157882093780695e24,2.6780199299277264e24,1.4747204343858764e24
2.3737373737373737,1.3050723709390605e23,2.116463514540369e22,3.0639510860432144e24,2.7207885644063746e24,1.498272081075132e24
2.4242424242424243,1.319368316904131e23,2.138860577564842e22,3.1120169143451444e24,2.763471019938488e24,1.5217762711147756e24
2.474747474747475,1.3366681088136025e23,2.161025527878245e22,3.159902259928612e24,2.805993206816608e24,1.5451922051050916e24
2.525252525252525,1.3535246429151318e23,2.1829654358284934e22,3.2131200637097004e24,2.853250616574214e24,1.5712157111540437e24
2.5757575757575757,1.3701241204687323e23,2.2046870199423593e22,3.2605005268775097e24,2.8953244678672285e24,1.594384757643102e24
2.6262626262626263,1.3857125267185899e23,2.226196670957613e22,3.306705934391862e24,2.9363548697399733e24,1.6169792019176207e24
2.676767676767677,1.3997484833982196e23,2.2475004737848657e22,3.3527322209842165e24,2.977226212233984e24,1.639486056061282e24
2.727272727272727,1.4124810680828157e23,2.268604227613013e22,3.3985580139014284e24,3.0179195163444684e24,1.6618948687977984e24
2.7777777777777777,1.4287693858276998e23,2.289513464346535e22,3.4435836264262115e24,3.0579022602664765e24,1.6839123933224178e24
2.8282828282828283,1.4448074715449801e23,2.3102334655407686e22,3.488126946914788e24,3.097456728860332e24,1.7056940770413315e24
2.878787878787879,1.4608409240938816e23,2.330769277982046e22,3.5324779315763146e24,3.1368404032397674e24,1.727381708540818e24
2.9292929292929295,1.4758502263497742e23,2.3511257280429274e22,3.576268900628965e24,3.1757267837585207e24,1.7487954924075637e24
2.9797979797979797,1.4902323310352719e23,2.3713074349282133e22,3.6191593822690366e24,3.2138135314549047e24,1.769768937929559e24
3.0303030303030303,1.5011338485031753e23,2.391318822914724e22,3.6619758512058e24,3.2518345558707505e24,1.7907061912396363e24
3.080808080808081,1.5153360065980565e23,2.4111641326767237e22,3.704703091638621e24,3.2897763453750954e24,1.8115998118112857e24
3.1313131313131315,1.5309859793715427e23,2.430847431779119e22,3.7460357222017916e24,3.3264797213151914e24,1.831811468156676e24
3.1818181818181817,1.5462198628959504e23,2.4503726244119634e22,3.7873275865557214e24,3.3631468968614814e24,1.852003189825748e24
3.2323232323232323,1.56125515411503e23,2.4697434604322794e22,3.8285720044586466e24,3.3997719399592787e24,1.8721717101802783e24
3.282828282828283,1.5757471115527186e23,2.4889635437724777e22,3.870278350358507e24,3.436807175118354e24,1.8925661133253098e24
3.3333333333333335,1.589739499991383e23,2.508036340268794e22,3.912267964995469e24,3.474093952915977e24,1.9130990348827848e24
3.3838383838383836,1.6000232005060886e23,2.526965184957902e22,3.9542162869436093e24,3.511344062805925e24,1.933611764315425e24
3.4343434343434343,1.61324845133806e23,2.5457532888851897e22,3.995830527811694e24,3.548297508696785e24,1.9539611280999186e24
3.484848484848485,1.6280774564867745e23,2.56440374546408e22,4.0368714583461426e24,3.584741855011375e24,1.9740301431312636e24
3.5353535353535355,1.642249017383392e23,2.5829195364220384e22,4.0836497375923284e24,3.626280966981988e24,1.9969047216826488e24
3.585858585858586,1.6557615304859617e23,2.601303537365656e22,4.124531168934679e24,3.662583678013995e24,2.016895741609058e24
3.6363636363636362,1.6665191903888825e23,2.619558522994192e22,4.1653916461525606e24,3.698867781783474e24,2.0368765149686023e24
3.686868686868687,1.679913873585595e23,2.6376871719883596e22,4.2062095104741184e24,3.7351140453010173e24,2.056836450621844e24
3.7373737373737375,1.6905132951449786e23,2.6556920715987367e22,4.2469937630870645e24,3.771330461621313e24,2.0767799501495747e24
3.787878787878788,1.702218955114538e23,2.6735757219560526e22,4.2874466503046196e24,3.8072526254705025e24,2.0965614119989593e24
3.8383838383838382,1.716298982011863e23,2.6913405401236874e22,4.327306070169558e24,3.8426477903105684e24,2.1160526683129143e24
3.888888888888889,1.730401320864987e23,2.7089888639109804e22,4.3671162588531095e24,3.877999237861562e24,2.135519850579171e24
3.9393939393939394,1.7438341101486035e23,2.726522955464366e22,4.406885067212679e24,3.913313939684859e24,2.154966797867e24
3.98989898989899,1.757203201608904e23,2.7439450046519843e22,4.445789122757748e24,3.9478607410088806e24,2.173990881028539e24
4.040404040404041,1.769887073663276e23,2.76125713225607e22,4.484745490014947e24,3.982453995133273e24,2.193040544617309e24
4.090909090909091,1.780562311204545e23,2.7784613929863143e22,4.5236647843224656e24,4.0170143284783495e24,2.212072079533686e24
4.141414141414141,1.7898412301818316e23,2.7955597783263177e22,4.563824680178007e24,4.052676315998071e24,2.2317102686070455e24
4.191919191919192,1.8019984505749216e23,2.812554219224285e22,4.6045145246388425e24,4.0888088978792926e24,2.2516076025483941e24
4.242424242424242,1.8156927735498285e23,2.829446588638274e22,4.645096666097384e24,4.124845839494478e24,2.271452269721621e24
4.292929292929293,1.828878974999345e23,2.846238703945473e22,4.685164018074488e24,4.160425648050146e24,2.291045204838425e24
4.343434343434343,1.8417651425458398e23,2.862932329224294e22,4.72428961346919e24,4.195169176760641e24,2.310177620986434e24
4.393939393939394,1.8541867649279812e23,2.8795291774173913e22,4.7633207982266995e24,4.2298288688253096e24,2.3292638703328562e24
4.444444444444445,1.8641488555069627e23,2.8960309123831044e22,4.802273949421652e24,4.2644192670864263e24,2.3483119612671878e24
4.494949494949495,1.87536942277863e23,2.9124391508422894e22,4.842631244025343e24,4.300256544694505e24,2.3680466783283932e24
4.545454545454546,1.884433907491532e23,2.92875546422698e22,4.887579514110415e24,4.340170608530049e24,2.390026382399993e24
4.595959595959596,1.8960035772988853e23,2.9449813804368657e22,4.92770022293626e24,4.3757977979673984e24,2.409645409015831e24
4.646464646464646,1.9089015608179253e23,2.9611183855091415e22,4.967082259079665e24,4.4107690460627436e24,2.4289032246899566e24
4.696969696969697,1.9216329086872707e23,2.9771679252068916e22,5.005104250420135e24,4.444532574373081e24,2.447495978455447e24
4.747474747474747,1.9340022171431386e23,2.9931314065308157e22,5.042955188157439e24,4.478144207083806e24,2.466005087008988e24
4.797979797979798,1.9438035947354226e23,3.009010199158783e22,5.080849222197977e24,4.511794109311804e24,2.4845352696548107e24
4.848484848484849,1.9543575658229974e23,3.0248056368173505e22,5.118050670131257e24,4.544828995076556e24,2.502726777694184e24
4.898989898989899,1.965863158733714e23,3.040519018589171e22,5.155241454489893e24,4.5778544115870254e24,2.5209130712455577e24
4.94949494949495,1.975315464116549e23,3.056151610159891e22,5.192402786626758e24,4.6108536745245607e24,2.539084962660485e24
5.0,1.9839863381500722e23,3.071704645007936e22,5.22953925501704e24,4.643830858455132e24,2.557244695703333e24
